index,bearing,latitude_geo,longitude_geo,speed_over_ground,desired_operating_speed_engine,engine_speed,fuel_delivery_pressure_sensor,fuel_pressure,fuel_rate,level_engine_coolant,load,engine_oil_filter_diff_pressure_j1939,oil_pressure,position_accelerator_pedal_1,position_engine_throttle,potential_battery_power_input_1,pressure_diff_fuel_filter,pressure_engine_coolant ,pressure_engine_crankcase,pressure_engine_inlet_air,pressure_engine_intake_manifold_1,rated_speed_engine,running_hours,temperature_ambient_air,temperature_engine_air_inlet,temperature_engine_coolant,temperature_engine_fuel_1,temperature_engine_intake_manifold_1,left_manifold_exh_gas_temperature,right_manifold_exh_gas_temperature,total_average_fuel_rate_engine,total_fuel_used_engine,transmission_1_oil_pressure,transmission_oil_temperature_1,trip_fuel_engine,acceleration_x,acceleration_y,acceleration_z,operation,year,month,day,hour,minute,second
12,98.6753,50.417477,7.560382,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4.3636365,0,0,0,0,0,412.35,0,0,65.72727,0,66,119.313,94.813,84.45,34824,13.090909,25.90909,34824,0.01354016,-0.10744272,0.00995904,0,2021,6,1,0,4,30
13,98.6753,50.417477,7.560382,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4.3636365,0,0,0,0,0,412.35,0,0,65.72727,0,66,119.313,94.813,84.45,34824,13.090909,25.90909,34824,0.00760304,-0.11318832,0.0172368,0,2021,6,1,0,4,31
14,98.6753,50.41748,7.560383,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4.3636365,0,0,0,0,0,412.35,0,0,65.72727,0,66,119.313,94.813,84.45,34824,13.090909,25.90909,34824,0.0196688,-0.1206576,0.01513008,0,2021,6,1,0,4,44
15,98.6753,50.41748,7.560383,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4.3636365,0,0,0,0,0,412.35,0,0,65.72727,0,66,119.313,94.813,84.45,34824,13.090909,25.90909,34824,0.0196688,-0.1206576,0.01513008,0,2021,6,1,0,4,45
16,98.6753,50.41748,7.560383,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4.3636365,0,0,0,0,0,412.35,0,0,65.72727,0,66,119.313,94.813,84.45,34824,13.090909,25.90909,34824,0.0196688,-0.1206576,0.01513008,0,2021,6,1,0,4,46
17,98.6753,50.41748,7.560383,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4.3636365,0,0,0,0,0,412.35,0,0,65.72727,0,66,119.313,94.813,84.45,34824,13.090909,25.90909,34824,0.0196688,-0.1206576,0.01513008,0,2021,6,1,0,4,47
18,98.6753,50.41748,7.560383,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4.3636365,0,0,0,0,0,412.35,0,0,65.72727,0,66,119.313,94.813,84.45,34824,13.090909,25.90909,34824,0.01622144,-0.1264032,0.00306432,0,2021,6,1,0,4,56
19,98.6753,50.41748,7.560383,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4,0,0,0,0,0,412.35,0,0,65.7,0,66,119.313,94.813,84.45,34824,16,26,34824,0.01622144,-0.1264032,0.00306432,0,2021,6,1,0,5,0
20,98.6753,50.41748,7.560383,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4,0,0,0,0,0,412.35,0,0,65.7,0,66,119.313,94.813,84.45,34824,16,26,34824,0.0225416,-0.11644416,0.00019152,0,2021,6,1,0,5,8
21,98.6753,50.41748,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4,0,0,0,0,0,412.35,0,0,65.7,0,66,119.313,94.813,84.45,34824,16,26,34824,0.0225416,-0.11644416,0.00019152,0,2021,6,1,0,5,14
